province,year,education_population_6_plus,illiterate_total,literate_no_diploma_total,lower_secondary_total,upper_secondary_total,university_total,masters_total,doctorate_total,illiterate_rate,upper_secondary_rate,university_rate,postgraduate_rate
Düzce,2022,368104.0,8389.0,32647.0,60582.0,88565.0,52258.0,5286.0,1040.0,0.02278975506921957,0.24059776584878187,0.14196531415034883,0.017185360658944212
Düzce,2023,374405.0,8337.0,32999.0,61814.0,92546.0,53391.0,5482.0,1103.0,0.022267330831586118,0.2471815280244655,0.14260226225611303,0.017587906144415806
Düzce,2024,378810.0,7980.0,32761.0,61171.0,95984.0,55525.0,5779.0,1180.0,0.021065969747366752,0.2533829624349938,0.14657743987751115,0.018370687151870332
Edirne,2021,383259.0,7639.0,27896.0,57132.0,90174.0,57489.0,6460.0,1658.0,0.019931691101839746,0.23528214601614053,0.15000039138024157,0.021181498673220982
Edirne,2022,385152.0,7381.0,27308.0,56110.0,92854.0,59019.0,6914.0,1699.0,0.019163862578929877,0.2410840395480226,0.15323560568295114,0.02236259970089731
Edirne,2023,390273.0,7254.0,26703.0,56832.0,96072.0,61312.0,7456.0,1774.0,0.018586989107624664,0.24616614523679578,0.15710028620990948,0.02365011158855468
Edirne,2024,392037.0,6832.0,26327.0,56663.0,98584.0,62763.0,7842.0,1851.0,0.01742692654009698,0.25146606060142285,0.16009458290926623,0.02472470710672717
Elazığ,2021,538821.0,17771.0,63932.0,102371.0,123318.0,78428.0,9873.0,2037.0,0.032981268361849295,0.22886635821543705,0.14555483175303116,0.022103815552845935
Elazığ,2022,542115.0,17175.0,63408.0,100558.0,126596.0,81393.0,10381.0,2097.0,0.03168146979884342,0.233522407607242,0.15013973049998616,0.02301725648616991
Elazığ,2023,556403.0,17040.0,64420.0,101528.0,133705.0,85103.0,11549.0,2296.0,0.030625284191494295,0.24030244265397563,0.1529520868866631,0.024883043405589115
Elazığ,2024,557915.0,16434.0,63447.0,99285.0,137952.0,87236.0,12267.0,2451.0,0.029456099943539787,0.24726347203427046,0.15636073595440167,0.02638036260003764
