province,year,population,in_migration,out_migration,net_migration,net_migration_rate
Kırşehir,2024,244546.0,11390.0,12511.0,-1121.0,-4.573522122016349
Malatya,2021,808692.0,28521.0,31737.0,-3216.0,-3.9689004072565712
Malatya,2022,812580.0,28684.0,30104.0,-1420.0,-1.7459946636501125
Malatya,2023,742725.0,34414.0,102621.0,-68207.0,-87.80187647595318
Malatya,2024,750491.0,36932.0,31790.0,5142.0,6.87506685206974
Manisa,2021,1456626.0,43325.0,40605.0,2720.0,1.8690741074140398
Manisa,2022,1468279.0,43466.0,37527.0,5939.0,4.053068652049277
Manisa,2023,1475716.0,46467.0,42259.0,4208.0,2.855568494284791
Manisa,2024,1475353.0,37649.0,37328.0,321.0,0.21759872016702902
Mardin,2021,862757.0,28641.0,35957.0,-7316.0,-8.443990466462376
Mardin,2022,870374.0,28747.0,36382.0,-7635.0,-8.733784302409711
Mardin,2023,888874.0,37903.0,33904.0,3999.0,4.509093451215476
Mardin,2024,895911.0,26712.0,31788.0,-5076.0,-5.649736379026523
Mersin,2021,1891145.0,57213.0,57930.0,-717.0,-0.37906353332150855
Mersin,2022,1916432.0,60984.0,57001.0,3983.0,2.080503416011101
Mersin,2023,1938389.0,80493.0,67409.0,13084.0,6.772793083510237
Mersin,2024,1954279.0,60574.0,54703.0,5871.0,3.0086963161534603
Muğla,2021,1021141.0,49545.0,35133.0,14412.0,14.213928900767801
Muğla,2022,1048185.0,49179.0,36702.0,12477.0,11.974703115754984
Muğla,2023,1066736.0,63562.0,40554.0,23008.0,21.80373605046094
Muğla,2024,1081867.0,48895.0,36378.0,12517.0,11.637133771255991
Muş,2021,405228.0,12190.0,24243.0,-12053.0,-29.307885992736857
Muş,2022,399202.0,13847.0,24941.0,-11094.0,-27.409579764248956
Muş,2023,399879.0,18904.0,22595.0,-3691.0,-9.187888714778412
Muş,2024,392301.0,12009.0,22879.0,-10870.0,-27.329686022889554
Nevşehir,2021,308003.0,13646.0,12396.0,1250.0,4.066654087150024
Nevşehir,2022,310011.0,12803.0,12029.0,774.0,2.4998062165723587
Nevşehir,2023,315994.0,19072.0,13307.0,5765.0,18.411971454258307
Nevşehir,2024,317952.0,14417.0,13133.0,1284.0,4.046516025337997
Niğde,2021,363725.0,16287.0,16506.0,-219.0,-0.6019220277351378
Niğde,2022,365419.0,15801.0,15661.0,140.0,0.38319524618926015
Niğde,2023,377080.0,26089.0,15991.0,10098.0,27.142899382040746
Niğde,2024,372708.0,13271.0,18496.0,-5225.0,-13.921435146761235
Ordu,2021,760872.0,27516.0,28547.0,-1031.0,-1.3541068115775476
Ordu,2022,763190.0,28878.0,27184.0,1694.0,2.2220968776521857
Ordu,2023,775800.0,43974.0,29843.0,14131.0,18.382159250040164
Ordu,2024,770711.0,24324.0,29933.0,-5609.0,-7.251309120502434
Osmaniye,2021,553012.0,18648.0,22445.0,-3797.0,-6.842544878858844
Osmaniye,2022,559405.0,20565.0,21827.0,-1262.0,-2.2534265654350794
Osmaniye,2023,557666.0,27059.0,30896.0,-3837.0,-6.856873269363251
Osmaniye,2024,561061.0,19752.0,20460.0,-708.0,-1.2610991868760186
Rize,2021,345662.0,15956.0,15605.0,351.0,1.0159586554033224
Rize,2022,344016.0,14716.0,16938.0,-2222.0,-6.438209702515306
Rize,2023,350506.0,24347.0,18372.0,5975.0,17.193329275995378
Rize,2024,346977.0,13448.0,17592.0,-4144.0,-11.872258622714863
Sakarya,2021,1060876.0,40379.0,31048.0,9331.0,8.834413215926181
Sakarya,2022,1080080.0,41396.0,31141.0,10255.0,9.539956416678876
Sakarya,2023,1098115.0,47730.0,33515.0,14215.0,13.029241320522544
Sakarya,2024,1110735.0,37116.0,30501.0,6615.0,5.973302992746703
Samsun,2021,1371274.0,47471.0,45791.0,1680.0,1.2258890249366259
Samsun,2022,1368488.0,48681.0,43757.0,4924.0,3.6046166031978895
Samsun,2023,1377546.0,65364.0,50570.0,14794.0,10.79736583393485
Samsun,2024,1382376.0,46841.0,43246.0,3595.0,2.603980867440714
Siirt,2021,331980.0,12670.0,16340.0,-3670.0,-10.994113505983854
Siirt,2022,331311.0,12356.0,17607.0,-5251.0,-15.724546433229072
Siirt,2023,347412.0,21120.0,16468.0,4652.0,13.480697565244606
Siirt,2024,336453.0,10193.0,21815.0,-11622.0,-33.956244302643576
Sinop,2021,218408.0,13211.0,10548.0,2663.0,12.267564660384704
Sinop,2022,220799.0,14155.0,11291.0,2864.0,13.055746762275092
Sinop,2023,229716.0,20887.0,11499.0,9388.0,41.72036511985495
Sinop,2024,226957.0,10903.0,13075.0,-2172.0,-9.52451949851563
Sivas,2021,636121.0,25720.0,28285.0,-2565.0,-4.024138555875517
Sivas,2022,634924.0,24583.0,27668.0,-3085.0,-4.847073648023894
Sivas,2023,650401.0,48214.0,31783.0,16431.0,25.586065085555497
Sivas,2024,637007.0,21808.0,35421.0,-13613.0,-21.144322074638072
Tekirdağ,2021,1113400.0,60190.0,37516.0,22674.0,20.57414140570911
Tekirdağ,2022,1142451.0,63354.0,37969.0,25385.0,22.469403859320376
Tekirdağ,2023,1167059.0,63230.0,45182.0,18048.0,15.585021178116378
Tekirdağ,2024,1187162.0,53439.0,37996.0,15443.0,13.093496450223645
Tokat,2021,602567.0,35555.0,31400.0,4155.0,6.91935495957881
Tokat,2022,596454.0,28325.0,35358.0,-7033.0,-11.722243010281339
Tokat,2023,606934.0,45011.0,34546.0,10465.0,17.392344875324394
Tokat,2024,612674.0,38697.0,32350.0,6347.0,10.413445107920339
Trabzon,2021,816684.0,29914.0,29442.0,472.0,0.578113976640276
Trabzon,2022,818023.0,28168.0,30339.0,-2171.0,-2.6504425237926355
Trabzon,2023,824352.0,41272.0,35644.0,5628.0,6.850565646385195
Trabzon,2024,822270.0,26772.0,29887.0,-3115.0,-3.7811313654861
Tunceli,2021,83645.0,7054.0,6517.0,537.0,6.440663736184657
Tunceli,2022,84366.0,8081.0,7578.0,503.0,5.979944004898085
Tunceli,2023,89317.0,11806.0,7234.0,4572.0,52.533005480805684
Tunceli,2024,86612.0,6739.0,8868.0,-2129.0,-24.28244740608943
Uşak,2021,373183.0,13705.0,12231.0,1474.0,3.957620702061507
Uşak,2022,375454.0,13255.0,12313.0,942.0,2.5121138824960068
Uşak,2023,377001.0,14575.0,13122.0,1453.0,3.8615425706498843
Uşak,2024,375310.0,11053.0,11886.0,-833.0,-2.2170381913439696
Van,2021,1141015.0,30318.0,58185.0,-27867.0,-24.12834858004491
Van,2022,1128749.0,33903.0,62422.0,-28519.0,-24.950820575700007
Van,2023,1127612.0,39585.0,56547.0,-16962.0,-14.930115756368536
Van,2024,1118087.0,31418.0,54023.0,-22605.0,-20.015238321234612
Yalova,2021,291001.0,16965.0,11564.0,5401.0,18.733925192637543
Yalova,2022,296333.0,18466.0,12007.0,6459.0,22.036584346485117
Yalova,2023,304780.0,22979.0,12563.0,10416.0,34.76960463594728
Yalova,2024,307882.0,17812.0,13049.0,4763.0,15.59080918034504
Yozgat,2021,418500.0,18320.0,22928.0,-4608.0,-10.950466250320815
Yozgat,2022,418442.0,19580.0,22042.0,-2462.0,-5.8664722295692115
Yozgat,2023,420699.0,29124.0,22387.0,6737.0,16.143080843599975
Yozgat,2024,413161.0,16151.0,24594.0,-8443.0,-20.22844752714836
Zonguldak,2021,589684.0,20883.0,21991.0,-1108.0,-1.8772088547331756
Zonguldak,2022,588510.0,20334.0,21695.0,-1361.0,-2.3099489893336704
Zonguldak,2023,591492.0,26828.0,22615.0,4213.0,7.148122917852577
Zonguldak,2024,586802.0,18070.0,21563.0,-3493.0,-5.9349399412282935
Çanakkale,2021,557276.0,31210.0,19429.0,11781.0,21.36617665861725
Çanakkale,2022,559383.0,27747.0,22233.0,5514.0,9.906112901661078
Çanakkale,2023,570499.0,32719.0,22615.0,10104.0,17.869048734894694
Çanakkale,2024,568966.0,24714.0,21211.0,3503.0,6.17579416605182
Çankırı,2021,196515.0,15288.0,12457.0,2831.0,14.510544619540285
Çankırı,2022,195766.0,13649.0,14061.0,-412.0,-2.1023411507766414
Çankırı,2023,205501.0,25333.0,13438.0,11895.0,59.60807502749889
Çankırı,2024,199981.0,13129.0,18744.0,-5615.0,-27.68894685842639
Çorum,2021,526282.0,18029.0,22011.0,-3982.0,-7.537769297314078
Çorum,2022,524130.0,18723.0,20448.0,-1725.0,-3.2857612251603596
Çorum,2023,528351.0,27902.0,20273.0,7629.0,14.54426908327638
Çorum,2024,521335.0,16415.0,23143.0,-6728.0,-12.82258971334041
İstanbul,2021,15840900.0,385328.0,408165.0,-22837.0,-1.4406094603764112
İstanbul,2022,15907951.0,385294.0,418082.0,-32788.0,-2.058985785600601
İstanbul,2023,15655924.0,412707.0,581330.0,-168623.0,-10.712863857723095
İstanbul,2024,15701602.0,395485.0,369453.0,26032.0,1.6592954903647785
İzmir,2021,4425789.0,131394.0,109470.0,21924.0,4.965993004935414
İzmir,2022,4462056.0,132426.0,107312.0,25114.0,5.644230957238108
İzmir,2023,4479525.0,147765.0,125643.0,22122.0,4.950694466823499
İzmir,2024,4493242.0,117889.0,102040.0,15849.0,3.5335291202908157
Şanlıurfa,2021,2143020.0,40371.0,66987.0,-26616.0,-12.343205671864391
Şanlıurfa,2022,2170110.0,45648.0,68264.0,-22616.0,-10.367568251476792
Şanlıurfa,2023,2213964.0,63205.0,63559.0,-354.0,-0.15988141676614093
Şanlıurfa,2024,2237745.0,41771.0,60925.0,-19154.0,-8.523033192395216
Şırnak,2021,546589.0,17072.0,20431.0,-3359.0,-6.126560252868805
Şırnak,2022,557605.0,20096.0,23469.0,-3373.0,-6.030844380792485
Şırnak,2023,570745.0,22726.0,21572.0,1154.0,2.023964866495489
Şırnak,2024,570826.0,15266.0,23363.0,-8097.0,-14.084813294032001
