province,province_key,year,geographical_region,statistical_region,population,in_migration,out_migration,net_migration,net_migration_rate,active_insured_total,active_insured_share_of_population,education_population_6_plus,illiterate_total,literate_no_diploma_total,lower_secondary_total,upper_secondary_total,university_total,masters_total,doctorate_total,illiterate_rate,upper_secondary_rate,university_rate,postgraduate_rate,higher_education_share,tr_code,academic_year,upper_secondary_gross_enrollment_rate,general_secondary_gross_enrollment_rate,vocational_secondary_gross_enrollment_rate,investigation_files_total_load,investigation_files_carry_in,investigation_files_opened,investigation_files_closed,investigation_files_carry_out,investigation_files_total_load_per_100k,investigation_files_opened_per_100k,high_justice_risk
Kastamonu,kastamonu,2021,Karadeniz,Batı Karadeniz,375592.0,18463.0,17241.0,1222.0,3.258831780810228,99651,0.2653171526550086,349305.0,15374.0,33212.0,53124.0,67828.0,43268.0,4500.0,850.0,0.0440131117504759,0.1941798714590401,0.1238688252386882,0.0153161277393681,0.13918495297805641,TR821,2020-2021,138.39,78.73,59.65,30401.0,11430.0,18971.0,18725.0,11676.0,8094.155360071567,5050.959551854139,1
Kayseri,kayseri,2021,İç Anadolu,Orta Anadolu,1434357.0,40628.0,39915.0,713.0,0.4972104263561971,393302,0.27420091371952726,1295089.0,26854.0,124055.0,239468.0,290208.0,190944.0,20800.0,3526.0,0.0207352544883015,0.2240834413696665,0.1474369715131546,0.0187832650883452,0.16622023660149998,TR721,2020-2021,118.38,65.64,52.74,166472.0,79807.0,86665.0,79031.0,87441.0,11606.036711920393,6042.08017948112,1
Kilis,kilis,2021,Güneydoğu Anadolu,Güneydoğu Anadolu,145826.0,7474.0,7262.0,212.0,1.4548449080428218,38521,0.2641572833376764,127449.0,3160.0,14477.0,29718.0,25966.0,15375.0,1650.0,243.0,0.0247942314180574,0.203736396519392,0.1206364898900736,0.0148530000235388,0.1354894899136125,TRC13,2020-2021,130.97,78.57,52.4,20560.0,9514.0,11046.0,9915.0,10645.0,14098.994692304528,7574.780903268279,1
Kocaeli,kocaeli,2021,Marmara,Doğu Marmara,2033441.0,83959.0,66332.0,17627.0,8.706292885975321,759829,0.3736666074894723,1835080.0,29279.0,164734.0,333972.0,460405.0,302539.0,31132.0,3956.0,0.0159551627177016,0.2508909693310373,0.1648642021056302,0.0191206922858948,0.18398489439152516,TR421,2020-2021,130.11,76.34,53.77,194126.0,107497.0,86629.0,89200.0,104926.0,9546.674823611798,4260.21704096652,0
Konya,konya,2021,İç Anadolu,Batı Anadolu,2277017.0,64254.0,58865.0,5389.0,2.369496850160872,593774,0.2607683649265684,2049104.0,36513.0,200432.0,379010.0,391638.0,269370.0,34349.0,6226.0,0.0178190077223996,0.1911264630784967,0.1314574565273407,0.0198013375602214,0.15125879408756218,TR521,2020-2021,116.15,75.3,40.85,233131.0,114670.0,118461.0,116530.0,116601.0,10238.439150871513,5202.464452395393,1
Kütahya,kutahya,2021,Ege,Ege,578640.0,21913.0,21052.0,861.0,1.4890796501959929,151495,0.26181218028480574,532248.0,8675.0,48091.0,81462.0,116817.0,73428.0,7945.0,1319.0,0.0162987930438442,0.2194785137755332,0.1379582450286332,0.0174054200297605,0.15536366505839383,TR333,2020-2021,117.14,71.88,45.26,43732.0,17779.0,25953.0,24659.0,19073.0,7557.721553988663,4485.172127747823,0
Kırklareli,kirklareli,2021,Marmara,Batı Marmara,366363.0,17846.0,13855.0,3991.0,10.95322716762609,114024,0.31123230238861455,341754.0,4902.0,22195.0,52061.0,86047.0,52771.0,4828.0,734.0,0.0143436506961147,0.2517805204913476,0.1544122380425686,0.0162748643761302,0.17068710241869883,TR213,2020-2021,133.37,85.99,47.38,31716.0,12732.0,18984.0,18939.0,12777.0,8656.987741666053,5181.745973256033,1
Kırıkkale,kirikkale,2021,İç Anadolu,Orta Anadolu,275968.0,13449.0,16187.0,-2738.0,-9.87246562845924,70488,0.2554209183673469,250460.0,6817.0,19691.0,44297.0,70496.0,35799.0,3929.0,524.0,0.0272179190289866,0.2814661023716361,0.1429330032739758,0.017779286113551,0.16071228938752696,TR711,2020-2021,133.37,85.99,47.38,26882.0,11272.0,15610.0,14261.0,12621.0,9740.984461966606,5656.452922077922,1
Kırşehir,kirsehir,2021,İç Anadolu,Orta Anadolu,242944.0,11676.0,13193.0,-1517.0,-6.224802782080611,55202,0.2272210879873551,213694.0,5915.0,18886.0,34613.0,50714.0,31859.0,3226.0,704.0,0.0276797663949385,0.2373206547680328,0.1490870122698812,0.0183907830823514,0.16747779535223264,TR715,2020-2021,122.1,64.06,58.04,17823.0,6234.0,11589.0,10981.0,6842.0,7336.2585616438355,4770.235115911486,0
Malatya,malatya,2021,Doğu Anadolu,Ortadoğu Anadolu,808692.0,28521.0,31737.0,-3216.0,-3.9689004072565712,205023,0.25352420946417176,739252.0,33951.0,70950.0,132189.0,170098.0,112966.0,12457.0,2074.0,0.0459261523810554,0.2300947444173299,0.1528112199899357,0.0196563553429682,0.17246757533290408,TRB11,2020-2021,126.69,77.0,49.68,66264.0,25561.0,40703.0,38990.0,27274.0,8193.972488908015,5033.189397199428,0
